loc,cases,deaths,month
24,Cases,3,4
24,Cases,12,9
24,Cases,0,6
24,Cases,9,12
24,Cases,11,1
24,Cases,1,5
26,Cases,10,8
26,Cases,3,4
26,Cases,1,5
26,Cases,2,12
26,Cases,4,1
26,Cases,180,10
26,Cases,0,6
26,Cases,2,2
26,Cases,131,9
26,Cases,18,11
26,Cases,3,3
26,Cases,11,7
27,Cases,2,7
27,Cases,2,12
27,Cases,3,3
27,Cases,2,10
27,Cases,1,8
27,Cases,1,11
27,Cases,0,5
27,Cases,1,4
27,Cases,1,6
27,Cases,1,9
27,Cases,3,2
27,Cases,0,1
28,Cases,5,11
28,Cases,9,10
28,Cases,7,6
28,Cases,2,3
28,Cases,1,5
28,Cases,6,7
28,Cases,11,9
28,Cases,4,4
28,Cases,12,8
28,Cases,6,2
28,Cases,6,12
28,Cases,4,1
29,Cases,0,7
29,Cases,1,11
29,Cases,0,4
29,Cases,0,8
29,Cases,2,10
29,Cases,0,3
29,Cases,0,5
29,Cases,0,12
29,Cases,0,1
29,Cases,1,6
29,Cases,0,2
29,Cases,2,9
30,Cases,1,1
30,Cases,7,6
30,Cases,0,2
30,Cases,4,12
30,Cases,2,3
30,Cases,6,7
30,Cases,3,5
30,Cases,8,8
30,Cases,1,4
30,Cases,19,10
30,Cases,4,11
30,Cases,27,9
31,Cases,1,2
31,Cases,0,6
31,Cases,0,1
31,Cases,0,7
31,Cases,0,4
31,Cases,0,3
31,Cases,1,5
31,Cases,0,12
31,Cases,1,10
31,Cases,0,11
31,Cases,0,8
31,Cases,1,9
32,Cases,19,1
32,Cases,4,5
32,Cases,29,11
32,Cases,11,2
32,Cases,27,10
32,Cases,14,8
32,Cases,10,3
32,Cases,11,7
32,Cases,6,4
32,Cases,9,12
32,Cases,22,9
32,Cases,8,6
33,Cases,231,9
33,Cases,13,3
33,Cases,21,7
33,Cases,6,5
33,Cases,36,1
33,Cases,31,8
33,Cases,28,11
33,Cases,13,4
33,Cases,240,10
33,Cases,14,6
33,Cases,23,2
33,Cases,32,12
34,Cases,67,9
34,Cases,13,2
34,Cases,3,4
34,Cases,8,7
34,Cases,6,5
34,Cases,11,3
34,Cases,12,1
34,Cases,118,10
34,Cases,11,12
34,Cases,15,8
34,Cases,11,11
34,Cases,2,6
35,Cases,56,10
35,Cases,2,1
35,Cases,4,11
35,Cases,0,4
35,Cases,4,7
35,Cases,3,6
35,Cases,0,12
35,Cases,1,3
35,Cases,2,5
35,Cases,3,8
35,Cases,51,9
35,Cases,0,2
36,Cases,0,1
36,Cases,0,7
36,Cases,2,9
36,Cases,0,4
36,Cases,0,6
36,Cases,0,11
36,Cases,1,3
36,Cases,2,10
36,Cases,2,8
36,Cases,0,2
36,Cases,1,12
36,Cases,1,5
37,Cases,11,1
37,Cases,54,10
37,Cases,81,9
37,Cases,5,3
37,Cases,3,11
37,Cases,3,4
37,Cases,15,8
37,Cases,1,5
37,Cases,7,2
37,Cases,4,12
37,Cases,6,6
37,Cases,16,7
38,Cases,2,6
38,Cases,3,10
38,Cases,0,1
38,Cases,1,8
38,Cases,2,5
38,Cases,0,12
38,Cases,0,4
38,Cases,1,2
38,Cases,3,11
38,Cases,4,7
38,Cases,3,3
38,Cases,10,9
39,Cases,3,12
39,Cases,10,7
39,Cases,3,8
39,Cases,0,5
39,Cases,13,10
39,Cases,11,6
39,Cases,1,4
39,Cases,2,3
39,Cases,1,2
39,Cases,17,9
39,Cases,2,1
39,Cases,1,11
40,Cases,1,7
40,Cases,2,1
40,Cases,2,6
40,Cases,2,3
40,Cases,3,11
40,Cases,2,2
40,Cases,4,9
40,Cases,3,5
40,Cases,0,4
40,Cases,1,12
40,Cases,7,8
40,Cases,5,10
41,Cases,0,12
41,Cases,0,11
41,Cases,1,3
41,Cases,1,4
41,Cases,1,7
41,Cases,2,9
41,Cases,0,2
41,Cases,1,8
41,Cases,0,1
41,Cases,0,6
41,Cases,2,10
41,Cases,0,5
42,Cases,1,4
42,Cases,2,11
42,Cases,1,5
42,Cases,9,10
42,Cases,1,12
42,Cases,1,7
42,Cases,3,2
42,Cases,2,3
42,Cases,1,8
42,Cases,3,1
42,Cases,2,6
42,Cases,20,9
43,Cases,3,1
43,Cases,0,2
43,Cases,0,4
43,Cases,0,3
43,Cases,0,7
43,Cases,0,6
43,Cases,1,8
43,Cases,0,11
43,Cases,18,9
43,Cases,4,12
43,Cases,12,10
43,Cases,0,5
44,Cases,12,9
44,Cases,3,3
44,Cases,5,6
44,Cases,4,12
44,Cases,4,8
44,Cases,2,11
44,Cases,4,7
44,Cases,3,1
44,Cases,1,5
44,Cases,2,4
44,Cases,5,2
44,Cases,17,10
45,Cases,3,3
45,Cases,5,11
45,Cases,5,7
45,Cases,4,8
45,Cases,412,10
45,Cases,3,2
45,Cases,351,9
45,Cases,3,12
45,Cases,6,1
45,Cases,3,5
45,Cases,1,6
45,Cases,1,4
46,Cases,0,12
46,Cases,0,4
46,Cases,1,5
46,Cases,0,1
46,Cases,0,2
46,Cases,4,9
46,Cases,0,3
46,Cases,5,10
46,Cases,2,6
46,Cases,0,11
46,Cases,2,8
46,Cases,1,7
47,Cases,0,6
47,Cases,0,1
47,Cases,1,11
47,Cases,1,4
47,Cases,52,9
47,Cases,0,3
47,Cases,0,5
47,Cases,81,10
47,Cases,0,2
47,Cases,1,12
47,Cases,3,7
