loc,c,d,m
BATANGAS,2434,11,11
BATANGAS,1943,12,12
BAYUGAN CITY,120,1,1
BAYUGAN CITY,137,1,2
BAYUGAN CITY,122,0,3
BAYUGAN CITY,60,0,4
BAYUGAN CITY,47,0,5
BAYUGAN CITY,66,0,6
BAYUGAN CITY,137,2,7
BAYUGAN CITY,181,3,8
BAYUGAN CITY,168,6,9
BAYUGAN CITY,141,5,10
BAYUGAN CITY,81,1,11
BAYUGAN CITY,155,1,12
BENGUET,469,2,1
BENGUET,434,3,2
BENGUET,255,0,3
BENGUET,224,0,4
BENGUET,388,0,5
BENGUET,989,3,6
BENGUET,1865,5,7
BENGUET,1386,0,8
BENGUET,740,144,9
BENGUET,452,92,10
BENGUET,357,7,11
BENGUET,371,1,12
BILIRAN,173,1,1
BILIRAN,350,1,2
BILIRAN,288,0,3
BILIRAN,96,0,4
BILIRAN,63,0,5
BILIRAN,57,0,6
BILIRAN,75,0,7
BILIRAN,165,1,8
BILIRAN,206,2,9
BILIRAN,202,2,10
BILIRAN,144,0,11
BILIRAN,141,0,12
BOHOL,1812,9,1
BOHOL,1622,5,2
BOHOL,1026,7,3
BOHOL,509,4,4
BOHOL,543,7,5
BOHOL,501,8,6
BOHOL,1123,7,7
BOHOL,1772,9,8
BOHOL,3012,35,9
BOHOL,2035,84,10
BOHOL,2609,25,11
BOHOL,3002,17,12
BUKIDNON,1244,1,1
BUKIDNON,1301,3,2
BUKIDNON,1407,3,3
BUKIDNON,1141,3,4
BUKIDNON,1587,4,5
BUKIDNON,2833,7,6
BUKIDNON,4854,10,7
BUKIDNON,4725,10,8
BUKIDNON,3263,94,9
BUKIDNON,1767,101,10
BUKIDNON,1491,7,11
BUKIDNON,1603,1,12
BULACAN,2488,9,1
BULACAN,2335,10,2
BULACAN,1602,5,3
BULACAN,693,3,4
BULACAN,499,0,5
BULACAN,943,5,6
BULACAN,2878,7,7
BULACAN,5050,18,8
BULACAN,6285,13,9
BULACAN,3728,6,10
BULACAN,2294,5,11
BULACAN,2103,9,12
BUTUAN CITY,936,5,1
BUTUAN CITY,699,2,2
BUTUAN CITY,528,0,3
BUTUAN CITY,241,1,4
BUTUAN CITY,256,1,5
BUTUAN CITY,244,0,6
BUTUAN CITY,315,0,7
BUTUAN CITY,319,2,8
BUTUAN CITY,213,45,9
BUTUAN CITY,189,64,10
BUTUAN CITY,208,0,11
BUTUAN CITY,377,2,12
CABADBARAN CITY,142,0,1
CABADBARAN CITY,169,1,2
CABADBARAN CITY,98,1,3
CABADBARAN CITY,20,0,4
CABADBARAN CITY,39,0,5
CABADBARAN CITY,41,0,6
CABADBARAN CITY,53,0,7
CABADBARAN CITY,82,0,8
CABADBARAN CITY,66,12,9
CABADBARAN CITY,52,13,10
CABADBARAN CITY,52,0,11
CABADBARAN CITY,94,0,12
CAGAYAN,1092,11,1
CAGAYAN,1072,2,2
CAGAYAN,577,1,3
CAGAYAN,216,3,4
CAGAYAN,264,1,5
CAGAYAN,614,0,6
CAGAYAN,1063,5,7
CAGAYAN,1431,16,8
CAGAYAN,1632,12,9
CAGAYAN,1218,10,10
CAGAYAN,1061,1,11
CAGAYAN,906,9,12
CALOOCAN CITY,864,4,1
CALOOCAN CITY,920,2,2
CALOOCAN CITY,578,3,3
CALOOCAN CITY,302,3,4
CALOOCAN CITY,243,1,5
CALOOCAN CITY,391,0,6
CALOOCAN CITY,1175,11,7
CALOOCAN CITY,1783,10,8
CALOOCAN CITY,2090,131,9
CALOOCAN CITY,1355,180,10
CALOOCAN CITY,961,18,11
CALOOCAN CITY,799,2,12
CAMARINES NORTE,130,0,1
CAMARINES NORTE,105,3,2
CAMARINES NORTE,132,3,3
CAMARINES NORTE,74,1,4
CAMARINES NORTE,55,0,5
CAMARINES NORTE,98,1,6
CAMARINES NORTE,153,2,7
CAMARINES NORTE,239,1,8
CAMARINES NORTE,409,1,9
CAMARINES NORTE,345,2,10
CAMARINES NORTE,264,1,11
CAMARINES NORTE,221,2,12
CAMARINES SUR,602,4,1
CAMARINES SUR,502,6,2
CAMARINES SUR,415,2,3
CAMARINES SUR,231,4,4
CAMARINES SUR,192,1,5
CAMARINES SUR,320,7,6
CAMARINES SUR,875,6,7
CAMARINES SUR,1363,12,8
CAMARINES SUR,1434,11,9
CAMARINES SUR,906,9,10
CAMARINES SUR,475,5,11
CAMARINES SUR,606,6,12
CAMIGUIN,235,0,1
CAMIGUIN,146,0,2
CAMIGUIN,63,0,3
CAMIGUIN,54,0,4
CAMIGUIN,45,0,5
CAMIGUIN,40,1,6
CAMIGUIN,84,0,7
CAMIGUIN,202,0,8
CAMIGUIN,308,2,9
CAMIGUIN,340,2,10
CAMIGUIN,352,1,11
CAMIGUIN,505,0,12
CAPIZ,374,1,1
CAPIZ,480,0,2
CAPIZ,428,2,3
CAPIZ,267,1,4
CAPIZ,466,3,5
CAPIZ,1053,7,6
CAPIZ,2473,6,7
CAPIZ,2242,8,8
CAPIZ,1499,27,9
CAPIZ,730,19,10
CAPIZ,391,4,11
CAPIZ,334,4,12
CATANDUANES,59,0,1
CATANDUANES,42,1,2
CATANDUANES,42,0,3
CATANDUANES,54,0,4
CATANDUANES,59,1,5
CATANDUANES,116,0,6
CATANDUANES,228,0,7
CATANDUANES,242,0,8
CATANDUANES,286,1,9
CATANDUANES,123,1,10
CATANDUANES,81,0,11
CATANDUANES,80,0,12
CAVITE,3873,19,1
CAVITE,3334,11,2
CAVITE,1978,10,3
CAVITE,790,6,4
CAVITE,605,4,5
CAVITE,1088,8,6
CAVITE,3550,11,7
CAVITE,6537,14,8
CAVITE,7895,22,9
CAVITE,5629,27,10
CAVITE,4582,29,11
CAVITE,4308,9,12
CEBU,4129,36,1
CEBU,3626,23,2
CEBU,2782,13,3
CEBU,1230,13,4
CEBU,752,6,5
CEBU,1046,14,6
CEBU,2503,21,7
CEBU,4586,31,8
CEBU,6634,231,9
CEBU,4454,240,10
CEBU,3889,28,11
CEBU,4326,32,12
CEBU CITY,1790,12,1
CEBU CITY,1539,13,2
CEBU CITY,1126,11,3
CEBU CITY,553,3,4
CEBU CITY,456,6,5
CEBU CITY,564,2,6
CEBU CITY,1252,8,7
CEBU CITY,2322,15,8
CEBU CITY,1593,67,9
CEBU CITY,1763,118,10
CEBU CITY,1554,11,11
