loc,cases,deaths,day,month,year
14,0,0,21,2,2016
14,0,0,28,2,2016
14,1,0,6,3,2016
14,0,0,13,3,2016
14,1,0,20,3,2016
14,1,0,27,3,2016
14,0,0,3,4,2016
14,1,0,10,4,2016
14,1,0,17,4,2016
14,1,0,24,4,2016
14,0,0,1,5,2016
14,0,0,8,5,2016
14,0,0,15,5,2016
14,2,0,22,5,2016
14,0,0,29,5,2016
14,0,0,5,6,2016
14,0,0,12,6,2016
14,0,0,19,6,2016
14,0,0,26,6,2016
14,0,0,3,7,2016
14,0,0,10,7,2016
14,1,0,17,7,2016
14,0,0,24,7,2016
14,0,0,31,7,2016
14,0,0,7,8,2016
14,0,0,14,8,2016
14,0,0,21,8,2016
14,0,0,28,8,2016
14,0,0,4,9,2016
14,0,0,11,9,2016
14,0,0,18,9,2016
14,0,0,25,9,2016
14,0,0,2,10,2016
14,0,0,9,10,2016
14,0,0,16,10,2016
14,0,0,23,10,2016
14,0,0,30,10,2016
14,0,0,6,11,2016
14,0,0,13,11,2016
14,0,0,20,11,2016
14,0,0,27,11,2016
14,0,0,4,12,2016
14,0,0,11,12,2016
14,0,0,18,12,2016
14,0,0,25,12,2016
14,0,0,1,1,2017
15,116,0,10,1,2016
15,97,1,17,1,2016
15,94,1,24,1,2016
15,90,0,31,1,2016
15,73,0,7,2,2016
15,62,0,14,2,2016
15,65,0,21,2,2016
15,58,0,28,2,2016
15,53,0,6,3,2016
15,41,0,13,3,2016
15,35,1,20,3,2016
15,29,0,27,3,2016
15,23,0,3,4,2016
15,23,0,10,4,2016
15,32,0,17,4,2016
15,24,0,24,4,2016
15,25,0,1,5,2016
15,19,0,8,5,2016
15,26,0,15,5,2016
15,21,0,22,5,2016
15,26,0,29,5,2016
15,27,0,5,6,2016
15,27,0,12,6,2016
15,40,0,19,6,2016
15,85,0,26,6,2016
15,77,0,3,7,2016
15,83,0,10,7,2016
15,86,0,17,7,2016
15,135,0,24,7,2016
15,189,0,31,7,2016
15,185,0,7,8,2016
15,188,1,14,8,2016
15,236,0,21,8,2016
15,197,0,28,8,2016
15,230,1,4,9,2016
15,240,4,11,9,2016
15,203,1,18,9,2016
15,215,1,25,9,2016
15,166,2,2,10,2016
15,184,1,9,10,2016
15,183,2,16,10,2016
15,132,0,23,10,2016
15,135,0,30,10,2016
15,107,0,6,11,2016
15,156,0,13,11,2016
15,106,0,20,11,2016
15,76,0,27,11,2016
15,83,2,4,12,2016
15,89,0,11,12,2016
15,72,0,18,12,2016
15,46,0,25,12,2016
15,57,0,1,1,2017
21,97,0,10,1,2016
21,58,0,17,1,2016
21,76,1,24,1,2016
21,101,0,31,1,2016
21,85,0,7,2,2016
21,105,1,14,2,2016
21,81,0,21,2,2016
21,50,0,28,2,2016
21,49,0,6,3,2016
21,29,1,13,3,2016
21,33,1,20,3,2016
21,35,0,27,3,2016
21,28,0,3,4,2016
21,40,0,10,4,2016
21,19,0,17,4,2016
21,21,0,24,4,2016
21,16,0,1,5,2016
21,11,0,8,5,2016
21,7,0,15,5,2016
21,4,0,22,5,2016
21,13,0,29,5,2016
21,15,0,5,6,2016
21,5,0,12,6,2016
21,13,0,19,6,2016
21,18,0,26,6,2016
21,45,0,3,7,2016
21,55,0,10,7,2016
21,77,0,17,7,2016
21,87,0,24,7,2016
21,156,0,31,7,2016
21,166,1,7,8,2016
21,179,0,14,8,2016
21,191,0,21,8,2016
21,177,1,28,8,2016
21,194,0,4,9,2016
21,185,0,11,9,2016
21,198,0,18,9,2016
21,171,2,25,9,2016
21,146,0,2,10,2016
21,82,0,9,10,2016
21,115,1,16,10,2016
21,103,0,23,10,2016
21,113,1,30,10,2016
21,110,1,6,11,2016
21,67,2,13,11,2016
21,32,0,20,11,2016
21,49,0,27,11,2016
21,105,1,4,12,2016
21,84,0,11,12,2016
21,69,0,18,12,2016
21,89,0,25,12,2016
21,76,0,1,1,2017
24,45,0,10,1,2016
24,19,0,17,1,2016
24,37,0,24,1,2016
24,23,0,31,1,2016
24,15,0,7,2,2016
24,19,0,14,2,2016
24,14,0,21,2,2016
24,12,0,28,2,2016
24,5,0,6,3,2016
24,4,0,13,3,2016
24,2,0,20,3,2016
24,3,0,27,3,2016
24,3,0,3,4,2016
24,3,0,10,4,2016
24,4,0,17,4,2016
24,10,0,24,4,2016
24,5,0,1,5,2016
24,3,0,8,5,2016
24,2,0,15,5,2016
24,8,0,22,5,2016
24,5,0,29,5,2016
24,9,0,5,6,2016
24,12,0,12,6,2016
24,7,0,19,6,2016
24,6,0,26,6,2016
24,10,0,3,7,2016
24,8,0,10,7,2016
24,7,1,17,7,2016
24,13,0,24,7,2016
24,10,0,31,7,2016
24,24,0,7,8,2016
24,31,0,14,8,2016
24,20,0,21,8,2016
24,15,0,28,8,2016
24,7,0,4,9,2016
24,27,0,11,9,2016
24,23,0,18,9,2016
24,22,0,25,9,2016
24,18,0,2,10,2016
24,15,0,9,10,2016
24,10,0,16,10,2016
24,1,0,23,10,2016
24,1,0,30,10,2016
24,10,0,6,11,2016
24,1,0,13,11,2016
24,1,0,20,11,2016
24,1,0,27,11,2016
24,1,0,4,12,2016
24,1,0,11,12,2016
24,2,0,18,12,2016
24,3,0,25,12,2016
24,1,0,1,1,2017
27,8,0,10,1,2016
27,1,0,17,1,2016
27,3,0,24,1,2016
27,2,0,31,1,2016
27,3,0,7,2,2016
27,0,0,14,2,2016
27,3,0,21,2,2016
27,3,0,28,2,2016
27,1,0,6,3,2016
27,5,0,13,3,2016
27,6,0,20,3,2016
27,2,0,27,3,2016
27,0,0,3,4,2016
27,0,0,10,4,2016
27,6,0,17,4,2016
27,0,0,24,4,2016
27,3,0,1,5,2016
27,1,0,8,5,2016
27,5,0,15,5,2016
27,1,0,22,5,2016
27,2,0,29,5,2016
27,7,0,5,6,2016
27,0,0,12,6,2016
27,3,0,19,6,2016
27,2,0,26,6,2016
27,0,0,3,7,2016
27,1,0,10,7,2016
27,2,0,17,7,2016
27,1,0,24,7,2016
27,6,0,31,7,2016
27,3,0,7,8,2016
27,3,0,14,8,2016
27,1,0,21,8,2016
27,6,0,28,8,2016
27,4,0,4,9,2016
27,0,0,11,9,2016
27,4,0,18,9,2016
27,7,0,25,9,2016
27,4,0,2,10,2016
27,1,0,9,10,2016
27,2,0,16,10,2016
27,2,0,23,10,2016
