loc,cases,deaths,month
BATAAN,Cases,4,10
BATAAN,Cases,5,11
BATAAN,Cases,1,1
BATAAN,Cases,0,2
BATAAN,Cases,3,6
BATAAN,Cases,3,12
BATANES,Cases,0,1
BATANES,Cases,1,11
BATANES,Cases,0,9
BATANES,Cases,0,2
BATANES,Cases,0,12
BATANES,Cases,0,3
BATANES,Cases,0,8
BATANES,Cases,0,5
BATANES,Cases,0,4
BATANES,Cases,0,10
BATANES,Cases,0,6
BATANES,Cases,2,7
BATANGAS,Cases,13,8
BATANGAS,Cases,5,2
BATANGAS,Cases,11,11
BATANGAS,Cases,1,4
BATANGAS,Cases,1,6
BATANGAS,Cases,6,7
BATANGAS,Cases,12,12
BATANGAS,Cases,6,5
BATANGAS,Cases,20,10
BATANGAS,Cases,8,1
BATANGAS,Cases,22,9
BATANGAS,Cases,3,3
BAYUGAN CITY,Cases,6,9
BAYUGAN CITY,Cases,1,11
BAYUGAN CITY,Cases,3,8
BAYUGAN CITY,Cases,5,10
BAYUGAN CITY,Cases,1,12
BAYUGAN CITY,Cases,0,5
BAYUGAN CITY,Cases,0,4
BAYUGAN CITY,Cases,1,1
BAYUGAN CITY,Cases,1,2
BAYUGAN CITY,Cases,0,6
BAYUGAN CITY,Cases,2,7
BAYUGAN CITY,Cases,0,3
BENGUET,Cases,7,11
BENGUET,Cases,3,6
BENGUET,Cases,1,12
BENGUET,Cases,5,7
BENGUET,Cases,0,8
BENGUET,Cases,3,2
BENGUET,Cases,2,1
BENGUET,Cases,144,9
BENGUET,Cases,0,5
BENGUET,Cases,0,3
BENGUET,Cases,92,10
BENGUET,Cases,0,4
BILIRAN,Cases,0,4
BILIRAN,Cases,0,3
BILIRAN,Cases,2,9
BILIRAN,Cases,1,8
BILIRAN,Cases,2,10
BILIRAN,Cases,1,1
BILIRAN,Cases,0,7
BILIRAN,Cases,0,11
BILIRAN,Cases,1,2
BILIRAN,Cases,0,12
BILIRAN,Cases,0,5
BILIRAN,Cases,0,6
BOHOL,Cases,8,6
BOHOL,Cases,7,5
BOHOL,Cases,7,3
BOHOL,Cases,9,8
BOHOL,Cases,5,2
BOHOL,Cases,25,11
BOHOL,Cases,17,12
BOHOL,Cases,4,4
BOHOL,Cases,9,1
BOHOL,Cases,84,10
BOHOL,Cases,7,7
BOHOL,Cases,35,9
BUKIDNON,Cases,94,9
BUKIDNON,Cases,1,12
BUKIDNON,Cases,7,6
BUKIDNON,Cases,7,11
BUKIDNON,Cases,4,5
BUKIDNON,Cases,3,4
BUKIDNON,Cases,101,10
BUKIDNON,Cases,10,7
BUKIDNON,Cases,3,3
BUKIDNON,Cases,3,2
BUKIDNON,Cases,1,1
BUKIDNON,Cases,10,8
BULACAN,Cases,5,6
BULACAN,Cases,9,12
BULACAN,Cases,9,1
BULACAN,Cases,6,10
BULACAN,Cases,10,2
BULACAN,Cases,3,4
BULACAN,Cases,5,3
BULACAN,Cases,0,5
BULACAN,Cases,13,9
BULACAN,Cases,7,7
BULACAN,Cases,18,8
BULACAN,Cases,5,11
BUTUAN CITY,Cases,64,10
BUTUAN CITY,Cases,5,1
BUTUAN CITY,Cases,2,12
BUTUAN CITY,Cases,0,11
BUTUAN CITY,Cases,2,8
BUTUAN CITY,Cases,1,4
BUTUAN CITY,Cases,2,2
BUTUAN CITY,Cases,0,3
BUTUAN CITY,Cases,0,6
BUTUAN CITY,Cases,0,7
BUTUAN CITY,Cases,1,5
BUTUAN CITY,Cases,45,9
CABADBARAN CITY,Cases,0,7
CABADBARAN CITY,Cases,12,9
CABADBARAN CITY,Cases,0,8
CABADBARAN CITY,Cases,0,6
CABADBARAN CITY,Cases,1,3
CABADBARAN CITY,Cases,0,5
CABADBARAN CITY,Cases,0,4
CABADBARAN CITY,Cases,0,12
CABADBARAN CITY,Cases,0,11
CABADBARAN CITY,Cases,0,1
CABADBARAN CITY,Cases,13,10
CABADBARAN CITY,Cases,1,2
CAGAYAN,Cases,1,11
CAGAYAN,Cases,2,2
CAGAYAN,Cases,5,7
CAGAYAN,Cases,10,10
CAGAYAN,Cases,1,3
CAGAYAN,Cases,16,8
CAGAYAN,Cases,3,4
CAGAYAN,Cases,12,9
CAGAYAN,Cases,0,6
CAGAYAN,Cases,9,12
CAGAYAN,Cases,11,1
CAGAYAN,Cases,1,5
CALOOCAN CITY,Cases,10,8
CALOOCAN CITY,Cases,3,4
CALOOCAN CITY,Cases,1,5
CALOOCAN CITY,Cases,2,12
CALOOCAN CITY,Cases,4,1
CALOOCAN CITY,Cases,180,10
CALOOCAN CITY,Cases,0,6
CALOOCAN CITY,Cases,2,2
CALOOCAN CITY,Cases,131,9
CALOOCAN CITY,Cases,18,11
CALOOCAN CITY,Cases,3,3
CALOOCAN CITY,Cases,11,7
CAMARINES NORTE,Cases,2,7
CAMARINES NORTE,Cases,2,12
CAMARINES NORTE,Cases,3,3
CAMARINES NORTE,Cases,2,10
CAMARINES NORTE,Cases,1,8
CAMARINES NORTE,Cases,1,11
CAMARINES NORTE,Cases,0,5
CAMARINES NORTE,Cases,1,4
CAMARINES NORTE,Cases,1,6
CAMARINES NORTE,Cases,1,9
CAMARINES NORTE,Cases,3,2
CAMARINES NORTE,Cases,0,1
CAMARINES SUR,Cases,5,11
CAMARINES SUR,Cases,9,10
CAMARINES SUR,Cases,7,6
CAMARINES SUR,Cases,2,3
CAMARINES SUR,Cases,1,5
CAMARINES SUR,Cases,6,7
CAMARINES SUR,Cases,11,9
CAMARINES SUR,Cases,4,4
CAMARINES SUR,Cases,12,8
CAMARINES SUR,Cases,6,2
CAMARINES SUR,Cases,6,12
CAMARINES SUR,Cases,4,1
CAMIGUIN,Cases,0,7
CAMIGUIN,Cases,1,11
CAMIGUIN,Cases,0,4
CAMIGUIN,Cases,0,8
CAMIGUIN,Cases,2,10
CAMIGUIN,Cases,0,3
CAMIGUIN,Cases,0,5
CAMIGUIN,Cases,0,12
CAMIGUIN,Cases,0,1
CAMIGUIN,Cases,1,6
CAMIGUIN,Cases,0,2
CAMIGUIN,Cases,2,9
CAPIZ,Cases,1,1
CAPIZ,Cases,7,6
CAPIZ,Cases,0,2
CAPIZ,Cases,4,12
CAPIZ,Cases,2,3
CAPIZ,Cases,6,7
CAPIZ,Cases,3,5
CAPIZ,Cases,8,8
CAPIZ,Cases,1,4
CAPIZ,Cases,19,10
CAPIZ,Cases,4,11
CAPIZ,Cases,27,9
CATANDUANES,Cases,1,2
CATANDUANES,Cases,0,6
CATANDUANES,Cases,0,1
CATANDUANES,Cases,0,7
CATANDUANES,Cases,0,4
CATANDUANES,Cases,0,3
CATANDUANES,Cases,1,5
CATANDUANES,Cases,0,12
CATANDUANES,Cases,1,10
CATANDUANES,Cases,0,11
CATANDUANES,Cases,0,8
CATANDUANES,Cases,1,9
CAVITE,Cases,19,1
CAVITE,Cases,4,5
CAVITE,Cases,29,11
CAVITE,Cases,11,2
CAVITE,Cases,27,10
CAVITE,Cases,14,8
CAVITE,Cases,10,3
CAVITE,Cases,11,7
CAVITE,Cases,6,4
CAVITE,Cases,9,12
CAVITE,Cases,22,9
CAVITE,Cases,8,6
CEBU,Cases,231,9
CEBU,Cases,13,3
CEBU,Cases,21,7
CEBU,Cases,6,5
CEBU,Cases,36,1
CEBU,Cases,31,8
CEBU,Cases,28,11
CEBU,Cases,13,4
CEBU,Cases,240,10
CEBU,Cases,14,6
CEBU,Cases,23,2
CEBU,Cases,32,12
CEBU CITY,Cases,67,9
CEBU CITY,Cases,13,2
CEBU CITY,Cases,3,4
CEBU CITY,Cases,8,7
CEBU CITY,Cases,6,5
CEBU CITY,Cases,11,3
CEBU CITY,Cases,12,1
CEBU CITY,Cases,118,10
CEBU CITY,Cases,11,12
CEBU CITY,Cases,15,8
CEBU CITY,Cases,11,11
CEBU CITY,Cases,2,6
COTABATO CITY,Cases,56,10
COTABATO CITY,Cases,2,1
COTABATO CITY,Cases,4,11
COTABATO CITY,Cases,0,4
COTABATO CITY,Cases,4,7
COTABATO CITY,Cases,3,6
COTABATO CITY,Cases,0,12
COTABATO CITY,Cases,1,3
COTABATO CITY,Cases,2,5
COTABATO CITY,Cases,3,8
COTABATO CITY,Cases,51,9
COTABATO CITY,Cases,0,2
DAGUPAN CITY,Cases,0,1
DAGUPAN CITY,Cases,0,7
DAGUPAN CITY,Cases,2,9
DAGUPAN CITY,Cases,0,4
DAGUPAN CITY,Cases,0,6
DAGUPAN CITY,Cases,0,11
DAGUPAN CITY,Cases,1,3
DAGUPAN CITY,Cases,2,10
DAGUPAN CITY,Cases,2,8
DAGUPAN CITY,Cases,0,2
DAGUPAN CITY,Cases,1,12
DAGUPAN CITY,Cases,1,5
DAVAO CITY,Cases,11,1
DAVAO CITY,Cases,54,10
DAVAO CITY,Cases,81,9
DAVAO CITY,Cases,5,3
DAVAO CITY,Cases,3,11
DAVAO CITY,Cases,3,4
DAVAO CITY,Cases,15,8
DAVAO CITY,Cases,1,5
DAVAO CITY,Cases,7,2
DAVAO CITY,Cases,4,12
DAVAO CITY,Cases,6,6
DAVAO CITY,Cases,16,7
DAVAO DE ORO,Cases,2,6
DAVAO DE ORO,Cases,3,10
DAVAO DE ORO,Cases,0,1
DAVAO DE ORO,Cases,1,8
DAVAO DE ORO,Cases,2,5
DAVAO DE ORO,Cases,0,12
DAVAO DE ORO,Cases,0,4
DAVAO DE ORO,Cases,1,2
DAVAO DE ORO,Cases,3,11
DAVAO DE ORO,Cases,4,7
DAVAO DE ORO,Cases,3,3
DAVAO DE ORO,Cases,10,9
DAVAO DEL NORTE,Cases,3,12
DAVAO DEL NORTE,Cases,10,7
DAVAO DEL NORTE,Cases,3,8
DAVAO DEL NORTE,Cases,0,5
DAVAO DEL NORTE,Cases,13,10
DAVAO DEL NORTE,Cases,11,6
DAVAO DEL NORTE,Cases,1,4
DAVAO DEL NORTE,Cases,2,3
DAVAO DEL NORTE,Cases,1,2
DAVAO DEL NORTE,Cases,17,9
DAVAO DEL NORTE,Cases,2,1
DAVAO DEL NORTE,Cases,1,11
DAVAO DEL SUR,Cases,1,7
DAVAO DEL SUR,Cases,2,1
DAVAO DEL SUR,Cases,2,6
DAVAO DEL SUR,Cases,2,3
DAVAO DEL SUR,Cases,3,11
DAVAO DEL SUR,Cases,2,2
DAVAO DEL SUR,Cases,4,9
DAVAO DEL SUR,Cases,3,5
DAVAO DEL SUR,Cases,0,4
DAVAO DEL SUR,Cases,1,12
DAVAO DEL SUR,Cases,7,8
DAVAO DEL SUR,Cases,5,10
DAVAO OCCIDENTAL,Cases,0,12
DAVAO OCCIDENTAL,Cases,0,11
DAVAO OCCIDENTAL,Cases,1,3
DAVAO OCCIDENTAL,Cases,1,4
DAVAO OCCIDENTAL,Cases,1,7
DAVAO OCCIDENTAL,Cases,2,9
DAVAO OCCIDENTAL,Cases,0,2
DAVAO OCCIDENTAL,Cases,1,8
DAVAO OCCIDENTAL,Cases,0,1
DAVAO OCCIDENTAL,Cases,0,6
DAVAO OCCIDENTAL,Cases,2,10
DAVAO OCCIDENTAL,Cases,0,5
DAVAO ORIENTAL,Cases,1,4
DAVAO ORIENTAL,Cases,2,11
DAVAO ORIENTAL,Cases,1,5
DAVAO ORIENTAL,Cases,9,10
DAVAO ORIENTAL,Cases,1,12
DAVAO ORIENTAL,Cases,1,7
DAVAO ORIENTAL,Cases,3,2
DAVAO ORIENTAL,Cases,2,3
DAVAO ORIENTAL,Cases,1,8
DAVAO ORIENTAL,Cases,3,1
DAVAO ORIENTAL,Cases,2,6
DAVAO ORIENTAL,Cases,20,9
DINAGAT ISLANDS,Cases,3,1
DINAGAT ISLANDS,Cases,0,2
DINAGAT ISLANDS,Cases,0,4
DINAGAT ISLANDS,Cases,0,3
DINAGAT ISLANDS,Cases,0,7
DINAGAT ISLANDS,Cases,0,6
DINAGAT ISLANDS,Cases,1,8
DINAGAT ISLANDS,Cases,0,11
DINAGAT ISLANDS,Cases,18,9
DINAGAT ISLANDS,Cases,4,12
DINAGAT ISLANDS,Cases,12,10
DINAGAT ISLANDS,Cases,0,5
EASTERN SAMAR,Cases,12,9
EASTERN SAMAR,Cases,3,3
EASTERN SAMAR,Cases,5,6
EASTERN SAMAR,Cases,4,12
EASTERN SAMAR,Cases,4,8
EASTERN SAMAR,Cases,2,11
EASTERN SAMAR,Cases,4,7
EASTERN SAMAR,Cases,3,1
EASTERN SAMAR,Cases,1,5
EASTERN SAMAR,Cases,2,4
EASTERN SAMAR,Cases,5,2
EASTERN SAMAR,Cases,17,10
GENERAL SANTOS CITY,Cases,3,3
GENERAL SANTOS CITY,Cases,5,11
GENERAL SANTOS CITY,Cases,5,7
GENERAL SANTOS CITY,Cases,4,8
