loc,cases,deaths,month
31,54,0,4
31,59,1,5
31,116,0,6
31,228,0,7
31,242,0,8
31,286,1,9
31,123,1,10
31,81,0,11
31,80,0,12
32,3873,19,1
32,3334,11,2
32,1978,10,3
32,790,6,4
32,605,4,5
32,1088,8,6
32,3550,11,7
32,6537,14,8
32,7895,22,9
32,5629,27,10
32,4582,29,11
32,4308,9,12
33,4129,36,1
33,3626,23,2
33,2782,13,3
33,1230,13,4
33,752,6,5
33,1046,14,6
33,2503,21,7
33,4586,31,8
33,6634,231,9
33,4454,240,10
33,3889,28,11
33,4326,32,12
34,1790,12,1
34,1539,13,2
34,1126,11,3
34,553,3,4
34,456,6,5
34,564,2,6
34,1252,8,7
34,2322,15,8
34,1593,67,9
34,1763,118,10
34,1554,11,11
34,1560,11,12
35,184,2,1
35,178,0,2
35,181,1,3
35,133,0,4
35,140,2,5
35,305,3,6
35,517,4,7
35,430,3,8
35,310,51,9
35,200,56,10
35,164,4,11
35,169,0,12
36,146,0,1
36,103,0,2
36,69,1,3
36,48,0,4
36,51,1,5
36,110,0,6
36,203,0,7
36,315,2,8
36,430,2,9
36,417,2,10
36,324,0,11
36,199,1,12
37,1111,11,1
37,1040,7,2
37,879,5,3
37,558,3,4
37,565,1,5
37,1082,6,6
37,2826,16,7
37,2690,15,8
37,1542,81,9
37,1022,54,10
37,926,3,11
37,1089,4,12
38,453,0,1
38,406,1,2
38,365,3,3
38,261,0,4
38,255,2,5
38,357,2,6
38,550,4,7
38,547,1,8
38,492,10,9
38,387,3,10
38,479,3,11
38,532,0,12
39,667,2,1
39,499,1,2
39,423,2,3
39,248,1,4
39,268,0,5
39,527,11,6
39,716,10,7
39,635,3,8
39,576,17,9
39,469,13,10
39,336,1,11
39,417,3,12
40,146,2,1
40,204,2,2
40,223,2,3
40,131,0,4
40,111,3,5
40,152,2,6
40,269,1,7
40,349,7,8
40,170,4,9
40,89,5,10
40,100,3,11
40,119,1,12
41,13,0,1
41,11,0,2
41,20,1,3
41,12,1,4
41,10,0,5
41,12,0,6
41,27,1,7
41,25,1,8
41,31,2,9
41,9,2,10
41,13,0,11
41,24,0,12
42,370,3,1
42,388,3,2
42,307,2,3
42,242,1,4
42,207,1,5
42,238,2,6
42,377,1,7
42,478,1,8
42,431,20,9
42,373,9,10
42,322,2,11
42,366,1,12
43,189,3,1
43,203,0,2
43,99,0,3
43,34,0,4
43,43,0,5
43,25,0,6
43,30,0,7
43,127,1,8
43,172,18,9
43,123,12,10
43,144,0,11
43,277,4,12
44,476,3,1
44,542,5,2
44,353,3,3
44,207,2,4
44,231,1,5
44,340,5,6
44,998,4,7
44,1391,4,8
44,1065,12,9
44,644,17,10
44,598,2,11
44,556,4,12
45,881,6,1
45,655,3,2
45,547,3,3
45,361,1,4
45,284,3,5
45,348,1,6
45,571,5,7
45,1071,4,8
45,1078,351,9
45,715,412,10
45,695,5,11
45,900,3,12
46,48,0,1
46,61,0,2
46,77,0,3
46,54,0,4
46,65,1,5
46,274,2,6
46,838,1,7
46,946,2,8
46,536,4,9
46,183,5,10
46,94,0,11
46,45,0,12
47,132,0,1
47,119,0,2
47,63,0,3
47,34,1,4
47,58,0,5
47,218,0,6
47,818,3,7
47,812,0,8
47,562,52,9
47,449,81,10
47,239,1,11
47,145,1,12
48,575,7,1
48,478,2,2
48,338,5,3
48,193,3,4
48,107,2,5
48,173,1,6
48,437,4,7
48,836,5,8
48,865,10,9
48,466,15,10
48,471,3,11
48,581,9,12
49,209,0,1
49,172,0,2
49,175,0,3
49,108,1,4
49,88,1,5
49,255,4,6
49,1305,5,7
49,1334,2,8
49,1100,7,9
49,668,2,10
49,1064,2,11
49,260,1,12
50,464,0,1
50,303,0,2
50,197,0,3
50,182,0,4
50,210,0,5
50,505,1,6
50,1769,6,7
50,2637,3,8
50,1797,4,9
50,990,4,10
50,740,0,11
50,594,0,12
51,749,3,1
51,857,4,2
51,1017,4,3
51,762,5,4
51,950,3,5
51,2965,12,6
51,8892,28,7
51,11410,33,8
51,5673,115,9
51,2024,78,10
51,933,2,11
51,923,0,12
52,322,1,1
52,337,2,2
52,287,4,3
52,113,0,4
52,124,0,5
52,202,0,6
52,1062,6,7
52,1951,12,8
52,1295,35,9
52,570,34,10
52,291,1,11
52,211,0,12
53,1328,11,1
53,1369,2,2
53,925,2,3
53,422,1,4
53,385,3,5
53,685,4,6
53,1550,12,7
53,2593,5,8
53,2457,9,9
53,1879,12,10
53,1584,9,11
53,1477,8,12
54,208,1,1
54,190,1,2
54,155,0,3
54,107,2,4
54,172,0,5
54,229,2,6
54,372,2,7
54,298,2,8
54,261,8,9
54,219,16,10
54,221,1,11
54,181,0,12
55,374,2,1
55,288,0,2
55,197,0,3
55,92,0,4
55,95,0,5
55,204,0,6
55,642,1,7
55,1110,3,8
55,867,94,9
55,648,58,10
55,407,4,11
55,370,2,12
56,421,5,1
56,276,2,2
56,204,0,3
56,195,0,4
56,224,0,5
56,417,0,6
56,1241,2,7
56,1589,4,8
56,1498,4,9
56,789,1,10
56,747,0,11
56,860,0,12
57,3244,12,1
57,2650,8,2
57,1951,8,3
57,913,0,4
57,690,2,5
57,1247,5,6
57,3575,7,7
57,6680,13,8
57,9171,20,9
57,5543,13,10
57,3576,9,11
57,2773,11,12
58,623,3,1
58,582,3,2
58,530,7,3
58,367,3,4
58,381,2,5
58,704,3,6
58,1408,19,7
58,1427,4,8
58,934,16,9
58,595,13,10
58,1218,4,11
58,688,1,12
59,251,1,1
59,282,2,2
59,248,2,3
59,128,3,4
59,195,4,5
59,354,3,6
59,652,2,7
59,744,1,8
59,661,34,9
59,451,38,10
59,334,0,11
59,308,3,12
60,934,4,1
60,627,5,2
60,354,1,3
60,175,1,4
60,181,1,5
60,201,3,6
60,434,2,7
60,838,6,8
60,672,59,9
60,700,64,10
60,854,7,11
60,1054,3,12
61,399,2,1
61,365,2,2
61,199,0,3
61,71,0,4
61,44,0,5
61,71,1,6
61,225,0,7
61,511,2,8
61,781,56,9
61,572,39,10
61,503,2,11
61,373,3,12
62,1123,5,1
62,1216,2,2
62,877,1,3
62,558,3,4
62,473,4,5
62,871,12,6
62,2289,10,7
62,2830,11,8
62,1811,35,9
62,1206,51,10
62,750,3,11
62,932,5,12
63,347,2,1
63,299,0,2
63,147,1,3
63,123,0,4
63,61,0,5
63,78,0,6
63,139,0,7
63,297,3,8
63,424,2,9
63,335,1,10
63,192,1,11
63,191,0,12
64,271,1,1
64,277,6,2
64,280,4,3
64,206,1,4
64,303,3,5
64,549,7,6
64,872,4,7
64,542,4,8
64,344,60,9
64,236,61,10
64,204,4,11
64,209,3,12
65,346,1,1
65,262,0,2
65,230,2,3
65,128,0,4
65,127,0,5
65,138,1,6
65,270,2,7
65,455,0,8
65,701,49,9
65,489,39,10
65,361,8,11
65,288,3,12
66,418,0,1
66,307,2,2
66,226,2,3
66,90,0,4
66,88,1,5
66,114,0,6
66,282,0,7
66,588,6,8
66,1340,77,9
66,1141,78,10
66,766,14,11
66,531,2,12
67,332,0,1
67,264,0,2
67,157,1,3
67,78,0,4
67,55,0,5
67,91,0,6
67,175,0,7
67,260,0,8
67,364,61,9
67,341,74,10
67,213,4,11
67,161,0,12
68,678,3,1
68,798,2,2
68,338,2,3
68,131,2,4
68,77,1,5
68,120,1,6
68,311,3,7
68,530,2,8
68,557,29,9
68,657,50,10
68,776,7,11
68,713,2,12
69,1174,5,1
69,991,3,2
69,591,2,3
69,424,3,4
69,280,0,5
69,336,2,6
69,847,2,7
69,1403,4,8
69,2206,220,9
69,1956,308,10
69,1539,8,11
69,1301,1,12
70,346,0,1
70,339,7,2
70,157,0,3
70,92,0,4
70,51,0,5
70,80,0,6
70,221,2,7
70,456,1,8
70,602,51,9
70,418,54,10
70,377,9,11
70,334,3,12
71,113,0,1
71,151,0,2
71,149,1,3
71,75,0,4
71,45,0,5
71,88,0,6
71,222,0,7
71,297,1,8
71,276,0,9
71,112,1,10
71,62,1,11
71,106,0,12
72,131,0,1
72,135,0,2
72,130,2,3
72,79,0,4
72,60,0,5
72,70,0,6
72,178,3,7
72,281,3,8
72,321,5,9
72,247,2,10
72,159,0,11
72,152,0,12
73,745,1,1
73,789,2,2
73,778,6,3
73,632,8,4
73,571,3,5
73,876,5,6
73,1331,6,7
73,1191,14,8
73,1023,30,9
73,722,34,10
73,659,2,11
73,765,5,12
74,1118,4,1
74,1043,4,2
74,982,9,3
74,603,3,4
74,479,3,5
74,643,4,6
74,1334,8,7
74,1959,9,8
74,1898,48,9
74,1324,74,10
74,1088,0,11
74,1197,2,12
75,86,0,1
75,103,1,2
75,33,0,3
75,25,0,4
75,42,0,5
75,95,0,6
75,279,0,7
75,458,1,8
75,294,46,9
75,183,21,10
75,140,1,11
75,76,0,12
76,265,0,1
76,189,0,2
76,130,0,3
76,50,0,4
76,35,0,5
76,42,0,6
76,176,2,7
76,397,2,8
76,585,17,9
76,476,33,10
76,372,9,11
